_id,room,purpose
e6bd1cf0-5c87-4444-b6e9-39a57e952fd5,MOJODOJO,👍
01b2060e-ffe2-4aaf-93f5-23638269387c,MOJODOJO,Meet
63a04cca-db4f-4f8c-b02d-99beaeab5ae0,MOJODOJO,Or?
db8f9d93-30d3-4a60-845c-362c259641c2,MOJODOJO,討論功課
61a53224-ddc6-4c0a-886e-2af8121661d7,MOJODOJO,討論
36061564-20f2-464c-ba92-04fd395cf327,MOJODOJO,好吃晚餐
a4f6af2d-1a4d-4c41-b04b-4ddd5589209c,MOJODOJO,小丑
f7010e40-aa8a-4337-bd47-68f92eb95201,MOJODOJO,討論
a08e83b9-d929-498b-b721-24e8dd356e6f,MOJODOJO,討論
4eaa0613-d2a4-4efb-a803-94f20f0532ce,MOJODOJO,吃飯
dd56d135-1fc7-4280-be64-fd0b2667632f,MOJODOJO,討論作業
e64d4c6c-3e6e-4739-9220-f0f0ae894406,MOJODOJO,鬆餅：）
b570e415-1618-467f-8c12-8558484b7385,MOJODOJO,討論
c5adad3f-b3a2-4b44-83bf-2cd29493db3b,MOJODOJO,嘻嘻哈哈
253a1b3d-cb06-4f11-925c-04462c316e56,MOJODOJO,討論
af6d3252-c328-4f95-9e96-33f549be62fa,MOJODOJO,999
f052b77c-cbab-4047-ba42-15e597e5a386,MOJODOJO,打掃
43f46b8c-dfd8-4f28-88a4-09e1f0bf348b,MOJODOJO,聚會
0805cbf6-b770-4dec-906a-d8f1a07af8c5,MOJODOJO,討論
3eb93549-4de3-404c-a2e5-85eec7661642,MOJODOJO,吃午餐
50023b01-b194-4e64-89ea-13b8af35c590,MOJODOJO,看台灣拿冠軍
4fa7f8ef-102f-442a-8d5a-1180043f1530,MOJODOJO,討論
110d6ec8-5c0e-4860-b15a-462e49a25a77,MOJODOJO,討論
71f478ee-691e-4415-83a4-f3da7516907d,MOJODOJO,👍
ced7be7c-5c27-4c50-99bf-d858e01d27ea,MOJODOJO,革命
e810a924-e81b-480f-b42a-064e890047cd,MOJODOJO,作業
b35f2b85-9717-4853-97f2-c43b00cb994f,MOJODOJO,討論
296a5133-6fdb-4021-996e-9bb232b2482e,MOJODOJO,討論報告
993ec5bd-3eaf-43a6-9c02-5fc98613083c,MOJODOJO,👍
7fd7e38e-4109-42b2-8b98-62663271ba47,CASAHOUSE,討論
68a228c1-c95e-42ae-8a50-2575d39cd94d,MOJODOJO,人因
f822554d-04ea-4afe-b1db-21f85238547b,MOJODOJO,討論
6b0ca109-8d61-4275-9e50-1d6fe64b8b56,CASAHOUSE,開會
